case,C_global,alpha,residual_coverage_mean,residual_coverage_std,solution_coverage_mean,solution_coverage_std,mean_bound_width_mean,mean_bound_width_std,q_alpha_mean,q_alpha_std,replicates
wave,0.02,0.05,0.9424886402606311,0.004499997681133313,1.0,0.0,0.1636264572540919,0.0038646661993386794,8.181323369344076,0.19323329994324226,3
ns,0.02,0.05,0.9455782312925171,0.012596420072200467,0.0064572704081632655,0.0010191756436418533,0.005901964381337166,0.0003040412761990427,0.2950981954733531,0.015202048070915198,3
wave,0.05,0.05,0.9424886402606311,0.004499997681133313,1.0,0.0,0.4090661903222402,0.009661673467451322,8.181323369344076,0.19323329994324226,3
ns,0.05,0.05,0.9455782312925171,0.012596420072200467,0.09117240646258502,0.012976505484102296,0.014754910642902056,0.000760101354387116,0.2950981954733531,0.015202048070915198,3
wave,0.1,0.05,0.9424886402606311,0.004499997681133313,1.0,0.0,0.8181323806444804,0.019323346934902643,8.181323369344076,0.19323329994324226,3
ns,0.1,0.05,0.9455782312925171,0.012596420072200467,0.4624167375283447,0.04580154095936485,0.02950982128580411,0.001520202708774232,0.2950981954733531,0.015202048070915198,3
wave,0.2,0.05,0.9424886402606311,0.004499997681133313,1.0,0.0,1.6362647612889607,0.038646693869805286,8.181323369344076,0.19323329994324226,3
ns,0.2,0.05,0.9455782312925171,0.012596420072200467,0.964312287414966,0.01525408722161862,0.05901964257160822,0.003040405417548464,0.2950981954733531,0.015202048070915198,3
wave,0.5,0.05,0.9424886402606311,0.004499997681133313,1.0,0.0,4.090662002563477,0.09661648237425965,8.181323369344076,0.19323329994324226,3
ns,0.5,0.05,0.9455782312925171,0.012596420072200467,1.0,0.0,0.14754908780256906,0.007601029263361328,0.2950981954733531,0.015202048070915198,3
wave,1.0,0.05,0.9424886402606311,0.004499997681133313,1.0,0.0,8.181324005126953,0.1932329647485193,8.181323369344076,0.19323329994324226,3
ns,1.0,0.05,0.9455782312925171,0.012596420072200467,1.0,0.0,0.2950981756051381,0.015202058526722656,0.2950981954733531,0.015202048070915198,3
